Question,Answer
What is MTN XtraValue?,"MTN XtraValue is a bundle plan offering a combination of voice call airtime and data, allowing customers to enjoy both services in a single subscription. The bundles cater to different needs with varying validity periods."
How do I activate MTN XtraValue?,Dial 1312# and choose your preferred XtraValue plan. You can also activate the plan through the myMTN App by navigating to the XtraValue section.
What is MTN Pulse?,"MTN Pulse is a youth-focused tariff plan offering low call rates, discounted data bundles, and lifestyle benefits, including access to exclusive entertainment content and campus events."
How do I migrate to MTN Pulse?,"Dial *406# and select ""1"" to join MTN Pulse. Alternatively, send ""406"" to 131 via SMS."
What is MTN mPulse?,"MTN mPulse is a special plan for teenagers aged 9ñ15, offering affordable call and data rates, access to educational content, and exciting offers on the mPulse platform."
How do I activate MTN mPulse?,"Dial 3441# or send ""mPulse"" to 344. Parents can also manage the subscription on behalf of their children via the myMTN App."
What is MTN Prestige?,"MTN Prestige is an exclusive program for high-value customers, providing premium services such as priority care, dedicated account managers, and exclusive offers tailored to individual preferences."
How do I become an MTN Prestige member?,"MTN Prestige membership is by invitation, based on your usage history and loyalty to the MTN network. Eligible customers are contacted directly by MTN."
What is MTN Roaming?,"MTN Roaming allows customers to use their MTN SIM card to make calls, send SMS, and use data services in foreign countries, ensuring seamless connectivity while traveling abroad."
How do I activate MTN Roaming?,Dial 1315# to activate roaming services. Ensure you have sufficient airtime or an active roaming bundle before traveling.
What is MTN Welcome Back Offer?,"MTN Welcome Back Offer is a special package for customers who have not used their MTN line for an extended period, providing bonuses on calls and data to encourage them to reconnect."
How do I qualify for the MTN Welcome Back Offer?,"Simply reactivate your dormant MTN line by recharging and using it for calls, SMS, or data. The offer is automatically applied if you meet the eligibility criteria."
What is MTN CallerFeel?,"MTN CallerFeel allows customers to set up personalized messages that appear on the screen of the person calling them. This can include greetings, quotes, or promotional messages."
How do I set up MTN CallerFeel?,Dial 1352# to create and activate your CallerFeel message. You can also manage this feature on the myMTN App.
What is MTN Magic Voice?,"MTN Magic Voice lets users change their voice during calls to sound like a cartoon character, robot, or other funny voices, adding a playful touch to conversations."
How do I activate MTN Magic Voice?,"Dial 1324# to subscribe and select your preferred voice. To use the service during a call, press the assigned key for the desired voice effect."
What is MTN YafunYafun?,"MTN YafunYafun is a promotional offer that provides new MTN customers with free airtime and data bonuses on every recharge, enabling them to explore MTN services without extra costs."
How do I enjoy MTN YafunYafun benefits?,Simply purchase and activate a new MTN SIM card. The YafunYafun bonuses are automatically credited upon recharging.
What is MTN SME Data Share?,"MTN SME Data Share is a service that allows businesses to purchase bulk data and share it among employees, customers, or family members, ensuring everyone stays connected."
How do I activate MTN SME Data Share?,"Register as an SME Data Share user at any MTN service center. Once registered, dial *461# to purchase and share data bundles with beneficiaries."
What is MTN 4G LTE?,"MTN 4G LTE provides high-speed internet connectivity with faster download and upload speeds, reduced buffering during streaming, and enhanced online gaming experiences."
How do I upgrade to MTN 4G LTE?,Visit an MTN service center with your current SIM card for a free upgrade to a 4G SIM. Ensure your device supports 4G LTE and configure the APN settings as required.
What is MTN 5G?,"MTN 5G is the next-generation network technology offering ultra-fast internet speeds, low latency, and seamless connectivity for applications like virtual reality, smart homes, and autonomous vehicles."
How do I access MTN 5G services?,"Ensure you have a 5G-enabled device and a compatible MTN SIM card. MTN 5G is available in select locations, so check the coverage in your area before activation."
What is MTN BetaTalk?,"MTN BetaTalk is a tariff plan that rewards customers with bonus airtime and data upon recharging, enabling them to enjoy extended talk time and internet access."
How do I migrate to MTN BetaTalk?,"Dial 1232*6# or send ""BT"" to 131 via SMS to join the BetaTalk tariff plan."
What is MTN Game+?,"MTN Game+ is an online gaming platform that provides access to a wide variety of games, including action, adventure, sports, and puzzle genres, allowing users to play and compete with friends."
How do I subscribe to MTN Game+?,Visit the MTN Game+ portal at game.mtnonline.com or download the MTN Game+ app to access the subscription options.
What is MTN Biz Data?,"MTN Biz Data is a solution designed for businesses, offering flexible data plans that support seamless communication and online operations for employees and customers."
How do I subscribe to MTN Biz Data?,Contact the MTN business team or visit the nearest MTN service center to set up a Biz Data plan tailored to your organization's needs.
What is MTN Data Gifting?,"MTN Data Gifting allows customers to purchase and send data bundles to friends, family, or colleagues as a gift, ensuring they stay connected."
How do I use MTN Data Gifting?,"Dial 1317# to select the data gifting option, enter the recipient's number, and choose a bundle. You can also gift data via the myMTN App."
